Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
267.0,267.5,83,B5,0.5,0,66,3.0
267.0,267.5,71,B4,0.5,0,66,3.0
267.0,267.5,52,E3,0.5,1,66,3.0
267.5,268.0,80,G#5,0.5,0,66,3.5
267.5,268.0,68,G#4,0.5,0,66,3.5
267.5,268.0,47,B2,0.5,1,66,3.5
268.0,268.5,59,B3,0.5,1,67,0.0
268.25,268.5,80,G#5,0.25,0,67,0.25
268.5,268.75,83,B5,0.25,0,67,0.5
268.5,269.0,56,G#3,0.5,1,67,0.5
268.75,269.0,80,G#5,0.25,0,67,0.75
269.0,269.5,64,E4,0.5,1,67,1.0
269.0,269.25,83,B5,0.25,0,67,1.0
269.25,269.5,80,G#5,0.25,0,67,1.25
269.5,270.0,59,B3,0.5,1,67,1.5
269.5,269.75,83,B5,0.25,0,67,1.5
269.75,270.0,80,G#5,0.25,0,67,1.75
270.0,270.25,83,B5,0.25,0,67,2.0
270.0,270.5,68,G#4,0.5,1,67,2.0
270.25,270.5,80,G#5,0.25,0,67,2.25
270.5,271.0,64,E4,0.5,1,67,2.5
270.5,270.75,83,B5,0.25,0,67,2.5
270.75,271.0,80,G#5,0.25,0,67,2.75
271.0,271.25,83,B5,0.25,0,67,3.0
271.0,271.5,71,B4,0.5,1,67,3.0
271.25,271.5,80,G#5,0.25,0,67,3.25
271.5,272.0,68,G#4,0.5,1,67,3.5
271.5,271.75,83,B5,0.25,0,67,3.5
271.75,272.0,80,G#5,0.25,0,67,3.75
272.0,272.5,76,E5,0.5,1,68,0.0
272.0,272.25,83,B5,0.25,0,68,0.0
272.25,272.5,80,G#5,0.25,0,68,0.25
272.5,273.0,71,B4,0.5,1,68,0.5
272.5,272.75,83,B5,0.25,0,68,0.5
272.75,273.0,80,G#5,0.25,0,68,0.75
273.0,273.5,76,E5,0.5,1,68,1.0
273.0,273.25,83,B5,0.25,0,68,1.0
273.25,273.5,80,G#5,0.25,0,68,1.25
273.5,274.0,71,B4,0.5,1,68,1.5
273.5,273.75,83,B5,0.25,0,68,1.5
273.75,274.0,80,G#5,0.25,0,68,1.75
274.0,274.25,83,B5,0.25,0,68,2.0
274.0,274.5,76,E5,0.5,1,68,2.0
274.25,274.5,80,G#5,0.25,0,68,2.25
274.5,274.75,83,B5,0.25,0,68,2.5
274.5,275.0,71,B4,0.5,1,68,2.5
274.75,275.0,80,G#5,0.25,0,68,2.75
275.0,275.5,76,E5,0.5,1,68,3.0
275.0,275.25,83,B5,0.25,0,68,3.0
275.25,275.5,80,G#5,0.25,0,68,3.25
275.5,275.75,83,B5,0.25,0,68,3.5
275.5,276.0,71,B4,0.5,1,68,3.5
275.75,276.0,80,G#5,0.25,0,68,3.75
276.0,276.5,75,D#5,0.5,1,69,0.0
276.25,276.5,81,A5,0.25,0,69,0.25
276.5,276.75,83,B5,0.25,0,69,0.5
276.5,277.0,71,B4,0.5,1,69,0.5
276.75,277.0,81,A5,0.25,0,69,0.75
277.0,277.25,84,C6,0.25,0,69,1.0
277.0,277.5,75,D#5,0.5,1,69,1.0
277.25,277.5,81,A5,0.25,0,69,1.25
277.5,277.75,83,B5,0.25,0,69,1.5
277.5,278.0,71,B4,0.5,1,69,1.5
277.75,278.0,81,A5,0.25,0,69,1.75
278.0,278.25,84,C6,0.25,0,69,2.0
